APP Features 1,Review 1,App Features 2,Review 2,Fiaz,Naveen
likes,"Is this true that the updated version of whatsapp will provide us video calling n likes & comments features???;I do wish there was a better(any) alert system like on your iPhone for when you get new alerts(comments, likes, messages).",liking,Love the fact u can customize and listen offline ur play lists...also the up to date music you can Save instead of liking.,1,1
link and you click,"When something is posted that has a link and you click on it, it takes you to a Web page, but there's no way to get back to Facebook without hitting home and going back to the app.",link to the full site,But I wish it had a link to the full site like the mobile version does.,0,0
list makers,This app is a dream come true for list makers!,list my items,I know you can do more with it but I still use the computer to list my items.,1,0
loaded,"It's so bad, that it's clearly obvious that the author of the software and the person who approved its release for the Fire has never ever actually loaded it and run it on a Fire.",loading,when I sign on and it sits there loading for ever and when I click on the tab on the top it loads my messages just fine.,1,1
clicked on a song,I clicked on a song and it plays a whole different song,click on the tab,when I sign on and it sits there loading for ever and when I click on the tab on the top it loads my messages just fine.,0,0
clip selected text,"I clip selected text, web pages and links and can access them later on any of my devices.",clip web pages,"I clip selected text, web pages and links and can access them later on any of my devices.",0,0
closes,I have an HTC One M8 and for some reason this app opens and then closes without out any option for me to do anything.,closing,Well for one thing your app doesn't look anything like the pictures above and for another I got to edit one photo and then the app wouldn't open and kept force closing I hate it so I removed imedently,1,1
communicate,From all around the world we can communicate.,commercia interruption,My grandchild loves to watch her shows and I can catch my favorites without commercial interruption.,0,0
communicate properly with friends,Until the problem is fixed I will be without access to Facebook and therefore unable to communicate properly with friends and family.,communicate properly with family,Until the problem is fixed I will be without access to Facebook and therefore unable to communicate properly with friends and family.,0,0
edit pics,its a great app to edit pics,editing photo's,Great Photo Editing App for editing Photo's,1,1
email myself links,"I have Evernote apps on my Kindle Fire, iphone, ans browser at work and I'm able to email myself notes, links, etc and then open in any said mediums and since.",email myself notes,"I have Evernote apps on my Kindle Fire, iphone, ans browser at work and I'm able to email myself notes, links, etc and then open in any said mediums and since.",1,0
find what you need,User friendly app that loads quickly and well and is easy to navigate and find what you need.,find what you want,"Excellent, very easy to find what you want and I think the &#34;films like ......&#34; that shows movies or programmes similar to the ones you've watched is a great idea.",0,0
log out,I love it jus like a pc very easy to log in and out enjoy friends and meet new ones along with family and classmates.would reccomend to everyone;awesome app but first you have to log out and in but still awesome app you should get it it is great;Need to be login & log out feature for security reason or password option,logged out,The app worked generally as expected the first launch.But today it required that I log in again (why I was logged out is unknown) then crashes after a login timeout.,1,1
make a file,"I can make a file for everything from my son's funny quotes, to homework and tasks, as well as make separate note files for both of my non profits.",make a note,Make a note of that.,0,0
make quick note,very handy to either make quick note while out or lengthy one at home from computerwould recommend to family or friends,make a note,Make a note of that.,1,1
monitor anything i have posted,"Runs smoothly on my Kindle and syncs with my account, therefore all my devices are updated and match.The mobile version is easy to use, I haven't posted a sale with my Kindle, but I am able to monitor anything I have posted from my phone or computer, and I can easily search and bid on items without any problems.",monitor bids,"I did not attempt to perform any sales from the application, but I did check and monitor bids, and it was effective.;You can log into the application, view and monitor bids and create new bids.",0,0
movie best seletion of tv show,Has new movie best seletion of TV shows update everyday and the best thing of is I can see it any where,movies you can watch,They are movies you can watch with the family and not be embarassed.,0,1
opened,"I sat down today to continue watching my show when I opened the Netflix app, or I should say that I tried to open the app, but a connection error popped up.",opens,Opens on silk just fine.;I have an HTC One M8 and for some reason this app opens and then closes without out any option for me to do anything.,1,1
pics,easy to download and use everything is there at your fingertips and the pics look awesome in HD just perfect;I have a normal phone and it made 1 of my pics look like one of a iphone 6 if u dont believe me look at my instagran account ... wings_2004,picture,"Picture quality is great, and I am not having the issue with the border staying on the screen.;Very little loading time and great picture;Netflix is wat i recommend to all the movie lovers out there i watch movies on Netflix every day with the best picture quality ever;Sometimes the picture it's all the clear but I really like Netflix app!!",1,1
play my music,After my 7 days ended I couldn't play my music,play songs,"First, you can only play songs in Shuffle play.",1,1
posts hidden,"I like the layout of the application, but I like my applkication posts hidden once I have viewed them.",posts loading,i have trouble with the posts loading.,0,0
premiem,I want premiem but I don't have a credit card.,premium,"Works great for working out and premium is beyond worth it!!!!;please fix the terrible spell check for Pc and list the upgrade price in the app and I would pay for premium.;With Premium acc is good, but if you don't have Premium, app is very horrible.;Love it to bits ( Premium) but I have to restart my phone everytime;The only thing bad is atlest give unlimited skips and play when ever you want to people who don't have premium;Other than that premium is too expensive but still good app.",1,1
program,I also recommend it to those who enjoy a good movie/program with a message for the good.,programmes,"Excellent, very easy to find what you want and I think the &#34;films like ......&#34; that shows movies or programmes similar to the ones you've watched is a great idea.",1,1
respond,Everytime I try to use the app it doesn't respond and I keep reporting it but nothing.;Sometimes takes too long to respond;My whatsapp suddenly doesn't respond and a box I think that says'its not responding wanna close it' appears.,responding,alot of time it is not responding which is very frustratingI get tired waiting to be able to continue my work,1,1
sending pictures,I have so much fun with my dude n ho's sending voice messages songs videos n pictures.,sending images,the app is responsive but one problem.when sending a message to someone the plus nd smokey face Icon for sending images is their but when I press it no options for pics or stickers to send comes up.not a major problem to me although to some people probably yes.fixxxxx asap,1,1
t.v.,"Overall, the best area now that will give the best deals for t.v. and movies.",t.v. show options,"Almost all of the movie and t.v. show options for the adults like me with an array of action, suspense, and at rare occasions the horror movie fix option is always there, too.",0,0
tv series options,Very convenient can use it on my kindleEnjoy the tv series options .,tv show selections,I do love the price and the TV show selections.,0,1
updates,"Constantly wants to update but updates fail.;I loved the Spotify app until the recent updates.;I like listening to the music on here but I am getting upset about the updates and problems that app is having.;...but with the constant updates, now it just crashes.;For all the updates, it's not getting better, just slowing down and offering less functionality...;I did love this app but now since the last two updates it keeps shutting down whenever I open up another app.;This application used to work - now with last 3 &#34;updates&#34; it will not connect to the network.;Frustrating it updates so often & only vague descriptions of what is in the updates.;With the new update it doesn't have the thing at the bottom that shows the album artwork.;Its a bit processor heavy but the updates are tweaking it into place (hopefully).;Yes this is a nice app but come on, I mean, it updates every day or two and the update is just """"bugs fixed"""" I'm sick and tired of that.;Though this is the full Facebook app, it tends to lag behind in updates.;Frustrating it updates so often & only vague descriptions of what is in the updates.;I have the same problem on two different phones, even after several updates to the app.No matter what I do with the notifications, they never stop.",upgrade,"They embedded a volume bar into the app which is a nice upgrade.;the lack of availability on streaming doesn't make me want to upgrade, it just pisses me off.",0,0
violence,I enjoy comedy and mystery but not as much violence.,violent movies,I like Netflix but I wish they would submit less violent movies.,0,0
watch a movie,"everytime I decide to watch a movie, I can't find it on Netflix.;Anytime i want to catch a breather from my work on campus I pull out my kindle and watch a few tv shows or a movie.",watch all my.movies,i love netflex it is.awesome it works VERY well i love.it i watch all my.movies.nd.shows on this.its better than red box or hulu but tht is my opinion,1,1
watch shows,i love netflex it is.awesome it works VERY well i love.it i watch all my.movies.nd.shows on this.its better than red box or hulu but tht is my opinion,watch some shows,"Recently, I have been bringing my Fire to work so I can watch some shows while on my lunch break.",1,1
webpages,"Evernote has exceptional file and information handling capabilities and allows you to capture, store and share not just notes but photos, webpages, freehand drawings and graphics, and pretty much anything you want.",websites,"I just use this for everything: grocery lists, recipes, websites, schedules, story writing, class notes, ect.",0,1
shuffle play,"First, you can only play songs in Shuffle play.",shuffle playing,Tired of shuffle playing,1,1
